Title,Platform,Date,Rating,Note
Metroid Prime: Remastered,NS,2025-10-19,4,21小时通关《密特罗德：究极（复刻版）》，收集率57%，游戏是好游戏，尤其是前中期的体验相当不错，但是从费原子矿场开始难度或者说恶意就直线上升，让我这种不太认路性子又急的射击游戏苦手叫苦不迭。其他方面，本作的谜题设计跟音乐都令人印象深刻，从系列的角度来说，作为系列首款3D化尝试的作品，高度还原了2D密特罗德的体验，包括巧妙的谜题、多样的地形、高难度的战斗。
アスカさんはなびかない,NS,2025-10-08,2,中文名《飞鸟会长不肯认输》
Pikmin 4,NS,2025-10-06,4,内容丰富，玩法独特，令人沉迷，38小时通关，接近全收集。
Yoshi's Crafted World,NS,2025-09-27,4,
Prince of Persia: The Lost Crown,NS,2025-09-26,4,好多年前玩过《时之砂》，但早已忘了具体的玩法。没想到这个IP还能在今天推出新作，而且直接选择了伪3D的类银河恶魔城风格。初见时的平台跳跃还不算复杂，甚至让我想起了《奥日》，但当战斗系统展开时，立刻被它的手感震撼到了——流畅、凌厉，完全能比肩《鬼泣》《贝优妮塔》这样的动作标杆。Boss设计也别具特色，令人印象深刻，森林女王琪亚娜，时间定格的海难场景下的奥罗德，冰与火齐奏的大流士，四阶段马拉松的最终Boss瓦赫拉姆。随着逐步解锁关键能力，探索感渐渐接近《密特罗德》，而固定武器的升级机制又有点《战神》的味道，护符系统则会让人联想到《空洞骑士》。再到后期平台跳跃难度加大，关卡氛围甚至带着《蔚蓝》的紧张与精巧。黄金树存档点和随风流动的叶片引导，也很明显是在致敬《艾尔登法环》。可以说，它的设计几乎每一块都有迹可循，但融合得相当自然，不是东拼西凑的“山寨感”，而是有机地消化进了波斯王子的框架。相比以往系列强调“时间倒流”的 诡计，这一代把核心放在了动作手感与探索体验上，既顺应了当代类银河恶魔城的潮流，也让这个老牌IP在新世代找到了新生命。总的来说，本作不是原创性极高的作品，但却是一款工艺水平极高的现代波斯王子。
The Plucky Squire,NS,2025-09-20,3,18.7小时通关Switch版，绘本的美术风格是最大的特色，玩法上融合了很多元素，能想到的有：塞尔达传说、纸片马力欧、拳无虚发、泡泡龙、沙罗曼蛇、星际火狐、节奏地牢、史丹利的寓言。缺点是后期体验略显单一，最后一章还遇到了几次恶性的卡关Bug，重新读取存档才解决。
Fire Emblem: Three Houses,NS,2025-09-16,5,通关《火焰纹章：风花雪月》，本体金鹿学级一周目104小时（困难难度+轻松模式），DLC煤暗之章8小时。角色塑造非常棒，不仅是随着剧情发展体现的人物性格，支援等级的提升更丰富了人物间的关系塑造。战棋部分也很不错，主线战役还有各角色的支线每张图基本都有自己的特色。另外，角色培养的深度相当可观，这也直接导致了游戏非常耐玩，除了各自的战技、特技，人物还有专属的特长及职业赋予的技能，还能配备骑士团（有独立等级）在战斗中施放计策，武器方面除了传统的铁制银制等，还有英雄遗产和神圣武器可供挖掘，不同的武器需要不同的资源来恢复耐久，而遗产又对应纹章，纹章是每个角色天生的，加上性格特长可以说每个角色都是独一无二的。
Dark Souls: Remastered,NS,2025-08-02,5,70小时通关一周目。
The Great Ace Attorney Chronicles,NS,2025-07-06,4,断断续续玩了三个多月。人物塑造很成功，玩法相对经典的逆转三部曲来说会有点平淡，但故事很棒。
Kirby and the Forgotten Land,NS,2025-06-14,4,
